,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dot Balls,Fours,Sixes,Wide,No Balls
242,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
243,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
244,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0
245,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
246,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0
247,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
248,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
249,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
250,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
251,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0
252,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
253,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0
254,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
255,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
256,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
257,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
258,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
259,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
260,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
261,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
262,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
263,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
264,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
265,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
266,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
267,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
268,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
269,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
270,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
271,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
272,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
273,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
274,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
275,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
276,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
277,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
278,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
279,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
280,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0
281,Wanindu Hasaranga de Silva,4,0,22,1,5.50,9,1,0,0,0
282,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
283,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
284,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
285,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
286,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0
287,Wanindu Hasaranga de Silva,4,0,22,1,5.50,9,1,0,0,0
288,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
289,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
290,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0
291,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0
292,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0
293,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
294,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
295,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0
296,Sean Williams,2,0,10,1,5.00,4,0,0,1,0
297,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0
298,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0
299,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0
300,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
301,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
302,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0
303,Sean Williams,2,0,10,1,5.00,4,0,0,1,0
304,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
305,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
306,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0
307,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
308,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0
309,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0
310,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
311,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
312,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0
313,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
314,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0
