,0,1,2,3,4,5,6,7
90,Pathum Nissanka,c Basil Hameed b Zahoor Khan,74,60,105,6,2,123.33
91,Kusal Mendis †,lbw b Aryan Lakra,18,13,24,2,0,138.46
92,Dhananjaya de Silva,run out (Muhammad Waseem/Aayan Afzal Khan),33,21,30,3,1,157.14
93,Bhanuka Rajapaksa,c Kashif Daud b Meiyappan,5,8,19,0,0,62.50
94,Charith Asalanka,c †Aravind b Meiyappan,0,1,2,0,0,0.00
95,Dasun Shanaka (c),b Meiyappan,0,1,2,0,0,0.00
96,Wanindu Hasaranga de Silva,c Basil Hameed b Aayan Afzal Khan,2,3,3,0,0,66.66
97,Chamika Karunaratne,c Kashif Daud b Zahoor Khan,8,11,22,1,0,72.72
98,Pramod Madushan,not out,1,1,4,0,0,100.00
99,Dushmantha Chameera,not out,1,1,2,0,0,100.00
100,Muhammad Waseem,b Chameera,2,4,13,0,0,50.00
101,Chirag Suri,b Pramod Madushan,14,19,31,3,0,73.68
102,Aryan Lakra,b Chameera,1,3,4,0,0,33.33
103,Chundangapoyil Rizwan (c),c Rajapaksa b Chameera,1,3,8,0,0,33.33
104,Vriitya Aravind †,lbw b PWH de Silva,9,18,26,1,0,50.00
105,Basil Hameed,c DM de Silva b Shanaka,2,6,14,0,0,33.33
106,Aayan Afzal Khan,b PWH de Silva,19,21,33,1,0,90.47
107,Kashif Daud,lbw b PWH de Silva,0,4,8,0,0,0.00
108,Karthik Meiyappan,st †Mendis b Theekshana,4,8,11,0,0,50.00
109,Junaid Siddique,c Nissanka b Theekshana,18,16,22,1,1,112.50
110,Zahoor Khan,not out,1,1,15,0,0,100.00
111,George Munsey,lbw b Adair,1,2,9,0,0,50.00
112,Michael Jones,c Adair b Little,86,55,95,6,4,156.36
113,Matthew Cross †,c McCarthy b Campher,28,21,33,5,0,133.33
114,Richie Berrington (c),c Dockrell b Campher,37,27,39,3,1,137.03
115,Michael Leask,not out,17,13,19,2,0,130.76
116,Calum MacLeod,run out (†Tucker),0,3,6,0,0,0.00
117,Paul Stirling,c †Cross b Sharif,8,10,22,1,0,80.00
118,Andy Balbirnie (c),c Jones b Wheal,14,12,15,2,0,116.66
119,Lorcan Tucker †,c Davey b Watt,20,17,28,2,0,117.64
120,Harry Tector,c Greaves b Leask,14,16,23,1,0,87.50
121,Curtis Campher,not out,72,32,48,7,2,225.00
122,George Dockrell,not out,39,27,42,4,1,144.44
123,Kyle Mayers,c †Chakabva b Muzarabani,13,12,17,2,0,108.33
124,Johnson Charles,run out (Munyonga/Williams),45,36,60,3,2,125.00
125,Evin Lewis,c Shumba b Sikandar Raza,15,18,28,1,0,83.33
126,Nicholas Pooran (c)†,c & b Williams,7,9,10,0,0,77.77
127,Rovman Powell,c Ngarava b Muzarabani,28,21,40,1,2,133.33
128,Shamarh Brooks,lbw b Sikandar Raza,0,3,5,0,0,0.00
129,Jason Holder,c & b Sikandar Raza,4,3,3,0,0,133.33
130,Akeal Hosein,not out,23,18,31,2,0,127.77
131,Odean Smith,not out,1,2,2,0,0,50.00
132,Wessly Madhevere,c Lewis b Holder,27,19,37,3,1,142.10
133,Regis Chakabva (c)†,b Joseph,13,9,14,3,0,144.44
134,Tony Munyonga,b Joseph,2,6,12,0,0,33.33
135,Sean Williams,c †Pooran b McCoy,1,2,4,0,0,50.00
136,Sikandar Raza,c Powell b Smith,14,8,12,1,1,175.00
137,Milton Shumba,c Brooks b Hosein,2,9,20,0,0,22.22
138,Ryan Burl,lbw b Holder,17,19,30,3,0,89.47
139,Luke Jongwe,b Joseph,29,22,31,3,1,131.81
140,Richard Ngarava,b Joseph,2,6,11,0,0,33.33
141,Tendai Chatara,b Holder,3,8,12,0,0,37.50
142,Blessing Muzarabani,not out,1,4,4,0,0,25.00
143,Pathum Nissanka,b van Meekeren,14,21,25,0,1,66.66
144,Kusal Mendis †,c sub (LV van Beek) b van der Gugten,79,44,94,5,5,179.54
145,Dhananjaya de Silva,lbw b van Meekeren,0,1,2,0,0,0.00
146,Charith Asalanka,c †Edwards b de Leede,31,30,38,3,0,103.33
147,Bhanuka Rajapaksa,c Pringle b de Leede,19,13,18,2,0,146.15
148,Dasun Shanaka (c),c Ackermann b Klaassen,8,5,9,0,1,160.00
149,Wanindu Hasaranga de Silva,not out,5,4,8,0,0,125.00
150,Chamika Karunaratne,not out,2,2,4,0,0,100.00
151,Max O'Dowd,not out,71,53,99,6,3,133.96
152,Vikramjit Singh,c Shanaka b Theekshana,7,14,18,0,0,50.00
153,Bas de Leede,c †Mendis b Kumara,14,10,12,1,1,140.00
154,Colin Ackermann,c & b PWH de Silva,0,1,4,0,0,0.00
155,Tom Cooper,b Theekshana,16,19,23,2,0,84.21
156,Scott Edwards (c)†,b Fernando,21,15,16,3,0,140.00
157,Tim Pringle,run out (DM de Silva),2,4,8,0,0,50.00
158,Timm van der Gugten,b PWH de Silva,0,1,2,0,0,0.00
159,Fred Klaassen,b PWH de Silva,3,3,5,0,0,100.00
160,Paul van Meekeren,run out (Shanaka),0,0,4,0,0,-
161,Roelof van der Merwe,not out,0,1,14,0,0,0.00
162,Muhammad Waseem,c Trumpelmann b Shikongo,50,41,66,1,3,121.95
163,Vriitya Aravind †,c van Lingen b Scholtz,21,32,34,2,0,65.62
164,Chundangapoyil Rizwan (c),not out,43,29,55,3,1,148.27
165,Alishan Sharafu,c †Green b Wiese,4,4,10,0,0,100.00
166,Basil Hameed,not out,25,14,13,2,2,178.57
167,Michael van Lingen,c Sharafu b Basil Hameed,10,8,14,1,0,125.00
168,Stephan Baard,c Ahmed Raza b Junaid Siddique,4,6,9,1,0,66.66
169,Jan Nicol Loftie-Eaton,lbw b Basil Hameed,1,6,17,0,0,16.66
170,Gerhard Erasmus (c),b Meiyappan,16,18,23,2,0,88.88
171,Jan Frylinck,b Zahoor Khan,14,17,33,1,0,82.35
172,JJ Smit,run out (Meiyappan/Ahmed Raza),3,3,3,0,0,100.00
173,David Wiese,c Sharafu b Muhammad Waseem,55,36,65,3,3,152.77
174,Zane Green †,b Zahoor Khan,2,3,3,0,0,66.66
175,Ruben Trumpelmann,not out,25,24,43,1,1,104.16
176,Bernard Scholtz,not out,1,1,-,0,0,100.00
177,Kyle Mayers,c Tector b McCarthy,1,5,12,0,0,20.00
178,Johnson Charles,c Campher b Simi Singh,24,18,22,3,1,133.33
179,Evin Lewis,c Adair b Delany,13,18,42,0,0,72.22
180,Brandon King,not out,62,48,80,6,1,129.16
181,Nicholas Pooran (c)†,c Tector b Delany,13,11,16,0,1,118.18
182,Rovman Powell,c Tector b Delany,6,8,12,1,0,75.00
183,Odean Smith,not out,19,12,18,1,2,158.33
